"date1","year_date","month_date","reg","prov","dist","cred_direc","dep_vis","dep_aho","dep_pla","dep_tot"
2019-12-31,2019,12,"Amazonas","Bagua","Bagua",49293.09031,4375.84382,21708.41747,2610.87744,28695.13873
2019-12-31,2019,12,"Amazonas","Chachapoyas","Chachapoyas",107752.00012,26939.3332,43652.85142,6216.94464,76809.12926
2019-12-31,2019,12,"Amazonas","Utcubamba","Bagua Grande",126181.70303,14879.00185,28347.1051,4479.17762,47705.28457
2019-12-31,2019,12,"Amazonas","Bongara","Jazán",12371.56808,0,410.14189,241.28585,651.42774
2019-12-31,2019,12,"Ancash","Casma","Casma",67257.96729,5779.29395,34236.44661,7992.69208,48008.43264
2019-12-31,2019,12,"Ancash","Huaraz","Huaraz",1135469.78649,119551.71024,361681.54125,205303.37362,686536.62511
2019-12-31,2019,12,"Ancash","Huaraz","Independencia",4804.34412,0,1669.76314,3419.11221,5088.87535
2019-12-31,2019,12,"Ancash","Huarmey","Huarmey",15888.01462,176.20892,2880.8747,1808.07525,4865.15887
2019-12-31,2019,12,"Ancash","Huaylas","Caraz",55462.38176,2721.50254,28548.79791,12066.71088,43337.01133
2019-12-31,2019,12,"Ancash","Santa","Chimbote",1498704.17894,211850.22656,493112.504,345802.13182,1050764.86238
2019-12-31,2019,12,"Ancash","Santa","Nuevo Chimbote",154140.56413,11195.25497,47015.04711,29645.936,87856.23808
2019-12-31,2019,12,"Ancash","Santa","Santa",33034.89776,0,2301.08112,1359.77633,3660.85745
2019-12-31,2019,12,"Ancash","Santa","Nepeña",11290.21032,0,45.74167,0,45.74167
2019-12-31,2019,12,"Ancash","Huari","Huari",16488.574,0,815.92774,790.98645,1606.91419
2019-12-31,2019,12,"Ancash","Huari","San Marcos",5302.54793,0,0.5266,0,0.5266
2019-12-31,2019,12,"Ancash","Carhuaz","Carhuaz",31021.22218,7.07752,3595.864,3288.01337,6890.95489
2019-12-31,2019,12,"Ancash","Yungay","Yungay",24545.94998,0,1318.83233,1302.82364,2621.65597
2019-12-31,2019,12,"Ancash","Recuay","Recuay",7463.07987,0,98.34829,57.1,155.44829
2019-12-31,2019,12,"Ancash","Sihuas","Sihuas",10006.32874,0.02752,508.54859,651.99661,1160.57272
2019-12-31,2019,12,"Ancash","Bolognesi","Chiquian",4791.29447,0,0,0,0
2019-12-31,2019,12,"Ancash","Pomabamba","Pomabamba",2092.96596,0,0.03,0,0.03
2019-12-31,2019,12,"Apurimac","Abancay","Abancay",174684.88373,54029.73679,119828.24616,18738.29926,192596.28221
2019-12-31,2019,12,"Apurimac","Abancay","Curahuasi",2092.88248,0,0.03245,0,0.03245
2019-12-31,2019,12,"Apurimac","Andahuaylas","Andahuaylas",123796.74471,23499.90984,68024.53631,18451.0281,109975.47425
2019-12-31,2019,12,"Apurimac","Andahuaylas","Huancarama",1297.70835,0,0,0,0
2019-12-31,2019,12,"Apurimac","Cotabambas","Challhuahuacho",19314.76188,10498.9391,77378.40636,145496.64814,233373.9936
2019-12-31,2019,12,"Arequipa","Arequipa","Arequipa",5118696.05285,971571.78778,1547854.98512,779311.99005,3298738.76295
2019-12-31,2019,12,"Arequipa","Arequipa","Cayma",766954.81924,304990.85815,610263.91658,265161.38414,1180416.15887
2019-12-31,2019,12,"Arequipa","Arequipa","Cerro Colorado",199683.4611,24185.17177,109950.53471,23409.5458,157545.25228
2019-12-31,2019,12,"Arequipa","Arequipa","Jose Luis Bustamante y Rivero",185386.72164,30984.49411,158741.23999,47404.81194,237130.54604
2019-12-31,2019,12,"Arequipa","Arequipa","La Joya",54274.62754,0,996.13253,1036.26497,2032.3975
2019-12-31,2019,12,"Arequipa","Arequipa","Miraflores",183665.69072,47671.26907,167777.12469,30675.8488,246124.24256
2019-12-31,2019,12,"Arequipa","Arequipa","Paucarpata",373355.18055,24808.85859,212345.50962,89057.18492,326211.55313
2019-12-31,2019,12,"Arequipa","Arequipa","Socabaya",37465.80397,2838.62442,26378.58101,1331.59925,30548.80468
2019-12-31,2019,12,"Arequipa","Arequipa","Alto Selva Alegre",25125.98716,0,965.00471,563.03838,1528.04309
2019-12-31,2019,12,"Arequipa","Arequipa","Yura",24463.1525,0,1408.09924,577.79307,1985.89231
2019-12-31,2019,12,"Arequipa","Arequipa","Jacobo Hunter",41053.71894,1903.85501,19437.14192,923.6569,22264.65383
2019-12-31,2019,12,"Arequipa","Arequipa","Yanahuara",298670.44477,79701.20958,289349.89017,92747.89013,461798.98988
2019-12-31,2019,12,"Arequipa","Arequipa","Mariano Melgar",18.74127,9579.42212,27478.35548,2083.15009,39140.92769
2019-12-31,2019,12,"Arequipa","Camana","Camana",119124.83367,9035.32148,62626.06372,20253.65909,91915.04429
2019-12-31,2019,12,"Arequipa","Castilla","Aplao",16904.20153,0,513.07936,535.18408,1048.26344
2019-12-31,2019,12,"Arequipa","Castilla","Pampacolca",2831.92156,0,27.17071,0,27.17071
2019-12-31,2019,12,"Arequipa","Caylloma","Majes",136178.9308,5873.55464,42578.64176,5598.47898,54050.67538
2019-12-31,2019,12,"Arequipa","Islay","Cocachacra",19266.9488,0,1530.4746,714.5733,2245.0479
2019-12-31,2019,12,"Arequipa","Islay","Mollendo",54635.18831,45813.96992,37129.17625,15202.66802,98145.81419
2019-12-31,2019,12,"Arequipa","Islay","Punta de Bombon",9506.77382,0,460.77969,146.28543,607.06512
2019-12-31,2019,12,"Ayacucho","Huamanga","Ayacucho",634908.05415,155258.66006,295810.96052,64850.19589,515919.81647
2019-12-31,2019,12,"Ayacucho","Huanta","Huanta",56380.36158,0,2441.33004,956.59482,3397.92486
2019-12-31,2019,12,"Ayacucho","La Mar","Tambo",6045.8761,0,0.2,0,0.2
