"Dir1","dir2","price","m2","dorm","banios","estac","adicional","concepto","descr"
"Av. Lima-Barranco/Sinai Rodriguez 912349980","Barranco, Lima",1925,73,3,1,NA,150,"Mantenimiento","Se Alquila Departamento de 73 m2 cerca al boulevard de barranco, instituciones educativas, parques, Peluquerias, Bodegas. A 5 min del Metropolitano, con Acceso rapido a la av. Lima. Posee las siguientes caracteristicas: 3 Dormitorios (2 Con closet amplios, y con vista externa) 1 Dorimitorio que puede ser usado como escritorio. Sala Amplia con ventilacion e iluminacion natural. Cocina Amplia con reposteros bajos y altos. Pequeña area de lavanderia y Therma. 1 Baño. No cuenta con cochera, pero hay lugar para estacionarse. El departamento Se encuentra en condominio con vigilancia. Mantenimiento 150 soles, incluye agua y areas comunes. 4 to piso sin ascensor. Contactame y agendemos una visita. 24 horas de anticipacion -Llamame 9. 1. 2. 3. 4. 9. 9. 8. 0"
"Avenida Juan de Aliaga","Magdalena, Lima",2400,90,3,2,1,270,"Mantenimiento","Alquilo departamento en Juan de aliaga cerca a Javier Prado Oeste, Real plaza Salaverry, upc, Residencial San Felipe, Metro de Pershing, Vivanda. El departamento se encuentra ubicado en el piso 11, balcón con vista exterior. Mide 90. 14m2, tiene 13 años de antigüedad. El departamento cuenta con sala comedor, con pisos de cerámico. Cocina con muebles altos y bajos, lavandería, cuarto de servicio con baño propio. Tres dormitorios, el principal cuenta con closet, baño propio y pisos laminados, el segundo dormitorio cuenta con closet y pisos laminados, el tercer dormitorio no tiene closet, piso laminados. Areas comunes tiene Piscina, sala de reuniones, hermoso jardínEl departamento se alquila con estacionamiento y depósito. Mantenimiento 270 solesdepositoT. C. 4. 00. Tipo de cambio referencial, sujeto a variación diaria por fluctuación del mercado."
"Av. Buena Vista, San Borja","San Borja, Lima",2897,90,3,3,1,400,"Mantenimiento","¡frente A parque - pentagonito! - Área: 90 m2. ¡En primer piso! Descripción: - 3 habitaciones (Todas con closets) - 3 baños (Uno en la habitación principal) - Depósito y baño de servicio. - Sala comedor. - Cocina. - Lavandería independiente. - Patio. - 1 Cochera. - Muy luminoso. - Vista externa (Al parque - Pentagonito) Condiciones de alquiler: - 2X1 (2 meses de garantía y 1 de adelanto) - Mantenimiento: 400 soles (incluye el consumo del agua) - Sí se aceptan mascotas"
"Av. Rivera Navarrete 548","San Isidro, Lima",2800,50,1,1,NA,250,"Mantenimiento","¡se alquila departamento de estreno en san isidro! ¡hermoso departamento recién entregado! zona residencialcaracterísticas: - 50 M2- 1 dormitorio- 1 baño- Kitchenette- Lavandería independiente- Ubicado en el segundo piso- Vista interna (Jardines) El edificio: - Posee 4 ascensores- Residencial y de estreno- Excelentes acabados- A 3 cuadras de un parqueáreas comunes: Co-working, Zona de mascotas (entretenimiento y baño) , Área de Yoga, Zona de cocina privada y comedor en terraza, Lobby de recepciónNota: Las áreas comunes se van a comenzar a usar próximamente (Aún no están disponibles para su uso) Condiciones de alquiler: - 2X1 (2 meses de garantía y 1 de adelanto) - Mantenimiento: 250 soles¡este hermoso departamento es para ti! T. C. 4. 00. Tipo de cambio referencial, sujeto a variación diaria por fluctuación del mercado"
"TOMAS RAMSEY","Magdalena, Lima",2560,97,3,3,1,250,"Mantenimiento","Hermoso departamento en alquiler en exclusiva zona de magdalena del mar, con espectacular vista, cerca A universidades, colegios, clinicas, super mercados, centros comerciales, restaurantes entre otros. Vista externa. antigÜedad 12 años. piso 20. mantenimiento 250. 00. distribución. sala comedor con vista A la calle. amplia cocina con muebles altos Y bajos. lavandería. dormitorio completo de servicio. tres dormitorios. principal con closet, baño incorporado (tina) vista A la calle. dos dormitorios con closet comparten un baño completo. cochera. ascensor. áreas comunes. zona de parrillas, gimnasio. acogedora sala de recepción. servicio de vigilancia. condiciones: 2X 1 ( 2 de garantía 1 de adelanto) mantenimiento: 250 soles. servicio de luz Y agua asumidos por el inquilino."
"Cerca al centro comercial Real plaza Salaverry// Alexandra Trifu //","Jesús María, Lima",3100,110,3,2,1,200,"Mantenimiento","Buena Ubicación, departamento en alquiler amoblado y equipado, piso 16 a cinco cuadras del Real Plaza Salaverry y una cuadra de la Universidad del Pacifico -- Recepción las 24h. Solo 4 departamentos por piso. Cuenta con 03 dormitorios sin amoblar, el principal con baño incorporado y otro baño completo para compartir con los demás dormitorios. Medio baño de visita. Lavandería con lavadora, cocina con tablero de granito, horno, tablero con hornillas, campana extractora y refrigeradora. Sala comedor amoblada. Balcón implementado. Areas comunes como: Piscina con terraza, gimnasio, sala sum, jardín interior. Condiciones: 2x1, se alquila a personas con Infocorp correcto. Contacto: Alexandra Trifu, agente inmobiliario."
"Caminos del Inca 546","Santiago de Surco, Lima",2800,77,1,1,NA,127,"Mantenimiento","Dpto. En excelente zona de Surco. Ideal para persona sola o pareja en Edificio especialmente diseñado para el adulto mayor. Cerca a parques, bancos, cafeterías, restaurantes, C. C. Caminos del Inca, supermercados Wong y Plaza Vea, Don Mamino, Pinkberry y colegio Santa María Marianistas. Con rápido acceso a las avenidas Primavera, San Luis y Velasco Astete. En piso 9, con ascensor y vista exterior. Posee un área de 77 m2 y una antigüedad de 11 años. Viene con 1 dormitorio (con walk-in clóset), sala-comedor, cocina tipo americana, baño completo y lavandería con tendal. No incluye cochera. No mascotas. El edificio cuenta con área común en terraza, cochera para visitantes y vigilancia interna las 24 horas. No mascotas y solo adultos. Alquiler: usd 700 (sin muebles) / usd 800 (amoblado). El mantenimiento es de 127 soles (incluye luces comunes, limpieza del edificio, mantenimiento del ascensor y vigilancia interna). El consumo de luz y agua se pagan aparte. La condición es 2x1 y el contrato mínimo es por 1 año. Para cualquier consulta o si desea programar una visita, nos puede contactar al 9. 8. 0. 3. 3. 7. 6. 2. 3. Importante: para agendar visitas es necesario adjuntar nombres Y apellidos completos  número de dni. Asimismo, se solicita que el cliente debe tener buen récord crediticio (infocorp)."
"Caminos del inca 566","Santiago de Surco, Lima",3030,113,2,1,2,410,"Mantenimiento","Dpto. En excelente zona de Surco, ubicado en edificio tranquilo y con seguridad permanente especialmente diseñado para el Adulto mayor. Cerca a parques, bancos, cafeterías, restaurantes, C. C. Caminos del Inca, supermercados Wong y Plaza Vea, Don Mamino, Pinkberry y colegio Santa María Marianistas. Con rápido acceso a las avenidas Primavera, San Luis y Velasco Astete. En piso 8, con ascensor y vista interior. Posee un área de 113 m2 y una antigüedad de 11 años. Viene con 2 dormitorios, 1 baño completo, sala-comedor con vista trasera y panorámica a la ciudad, cocina americana (equipada con cocina eléctrica, refrigerador, horno microondas y campana extractora), 1/2 baño de visitas, lavandería (equipada con lavadora), cuarto y baño de servicio. Incluye 2 estacionamientos. El edificio cuenta con área común en terraza, cochera para visitantes y vigilancia interna las 24 horas. No mascotas y solo adultos. Alquiler: usd 750. El mantenimiento es de 410 soles (incluye luces comunes, limpieza del edificio, mantenimiento del ascensor y vigilancia interna). El consumo de luz y agua se pagan aparte. La condición es 2x1 y el contrato mínimo es por 1 año. Para cualquier consulta o si desea programar una visita, nos puede contactar al 9. 8. 0. 3. 3. 7. 6. 2. 3. Importante: para agendar visitas es necesario adjuntar nombres Y apellidos completos  número de dni. Asimismo, se solicita que el cliente debe tener buen récord crediticio (infocorp)."
"Jose Galvez, Miraflores","Miraflores, Lima",3000,80,2,2,1,300,"Mantenimiento","Ubicada Muy cerca al malecón en miraflores. *4to Piso con Ascensor. El departamento se alquila por contrato mínimo A 1 año. - no amoblado. distribucion: • Sala / Comedor. • Cocina equipada con encimera – horno - campana. • 2 Baños completos. • 2 Dormitorios. • 1 oficina. • Lavanderia. • 1 cocheras. • 1 depósito. *16 Años de antigüedad, remodelado - Excelentes condiciones. *Mantenimiento: . 300. * Guardianía 24/7. Contacto: Emmy Rodríguez. 9. 7. 5. 7. 1. 8. 0. 2. 9. Pn mvcs Ver datos"
"2 de mayo 555","Miraflores, Lima",4800,190,3,2,1,380,"Mantenimiento","Ofrecemos dúplex con amplia terraza en excelente zona de Miraflores. Cerca a cafeterías, restaurantes, Vivanda de José Pardo y Embajada de Brasil. A pocas cuadras del parque Kennedy, uno de los mejores centros de esparcimiento y de actividad social en todo Miraflores. Con rápido acceso a las avenidas Comandante Espinar, José Pardo y Arequipa. En piso 8, con ascensor y vista exterior. Posee un área ocupada de 190 m2 y un área techada de 120 m2. Primer nivel: sala-comedor con balcón, cocina con espacio para comedor de diario, 3 dormitorios y 2 baños completos. El dorm. Principal viene con baño incorporado. Segundo nivel: sala de estar, 1/2 baño de visitas, lavandería, cuarto y baño de servicio, terraza con bbq. Incluye 1 estacionamiento. El edificio cuenta con vigilancia interna las 24 horas, de lunes a domingo. Alquiler: usd 1, 200. El mantenimiento es de 380 soles (incluye luces comunes, limpieza del edificio, mantenimiento del ascensor y vigilancia interna). Los consumos de agua y luz se cancelan aparte. La condición es 2x1 y el contrato mínimo es por 1 año. El dpto. Se entrega pintado y sin muebles. Para cualquier consulta o si desea programar una visita, nos puede contactar al 9. 8. 0. 3. 3. 7. 6. 2. 3. Importante: para agendar visitas es necesario adjuntar nombres Y apellidos completos  número de dni. Asimismo, se solicita que el cliente debe tener buen récord crediticio (infocorp)."
