"ID","Idade","Renda","Regiao","Genero","seguro auto","seguro vida Emp","seguro vida PF","Seguro Residencial","Investimento Fundos_cambiais","Investimento Fundos_commodities","Investimento LCI","Investimento LCA","Investimento Poupanca","Investimento Fundos Multimercado","Investimento Tesouro Direto","Financiamento Casa","Financiamento Carro","Emprestimo _pessoal","Emprestimo _consignado","Emprestimo _limite_especial","Emprestimo _educacao","Emprestimo _viagem","Investimento CDB","Investimento Fundos","RECOMMENDATION_1","CONFIDENCE_1","RECOMMENDATION_2","CONFIDENCE_2","RECOMMENDATION_3","CONFIDENCE_3"
1004,40.685,8474.687,"CO",1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Seguro Residencial","0.99789","seguro auto","0.98748","Investimento LCI","0.98697"
1028,56.693,7996.353,"SE",0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Investimento Fundos_commodities","0.99167","Investimento LCI","0.98697","Investimento Poupanca","0.94662"
1034,49.413,8624.335,"NE",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Seguro Residencial","0.99816","seguro vida PF","0.99048","seguro auto","0.98748"
1035,22.764,6885.196,"S",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Seguro Residencial","0.99789","Investimento Fundos_commodities","0.99167","seguro vida PF","0.99048"
1039,22.059,7749.965,"NE",1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Seguro Residencial","0.99816","Investimento Fundos_commodities","0.99167","seguro vida PF","0.99048"
1048,56.736,6430.391,"CO",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Seguro Residencial","0.99816","seguro vida PF","0.99048","seguro auto","0.98748"
1067,60.131,8517.631,"CO",1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Seguro Residencial","0.99789","seguro auto","0.98748","Investimento LCI","0.98697"
1068,43.942,8462.347,"CO",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Seguro Residencial","0.99789","Investimento Fundos_commodities","0.99167","seguro auto","0.98748"
1085,43.369,8142.529,"SE",1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Seguro Residencial","0.99816","Investimento Fundos_commodities","0.99167","seguro vida PF","0.99048"
1092,40.664,8082.479,"CO",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Seguro Residencial","0.99789","seguro auto","0.98748","seguro vida PF","0.9868"
